"FoldChange"	"pValue"	"color"
"AB_015794_T.1"	-1.61704367098855	0	"Col_2"
"AB_005695_T.1"	-2.15219842271596	0	"Col_2"
"AB_046044_T.1"	-1.06123357825355	0	"Col_2"
"AB_030430_T.1"	-1.463456050468	0	"Col_2"
"AB_018009_T.1"	-1.37370681049867	0	"Col_2"
"AB_036448_T.1"	-1.18027685224962	0	"Col_2"
"AB_040258_T.1"	-1.48822540265809	0	"Col_2"
"AB_041982_T.1"	-2.01437504249244	0	"Col_2"
"AB_023750_T.1"	-2.88862940696321	0	"Col_2"
"AB_002706_T.1"	-1.09547587319662	0	"Col_2"
"AB_045477_T.1"	-1.0987749006244	0	"Col_2"
"AB_032452_T.1"	-1.98141056332968	0	"Col_2"
"AB_038924_T.1"	-2.48193746732373	0	"Col_2"
"AB_031844_T.1"	-1.4169376612241	0	"Col_2"
"AB_039768_T.1"	-2.58173134287632	0	"Col_2"
"AB_008003_T.1"	-1.14487967906335	0	"Col_2"
"AB_020289_T.1"	-1.06309534838262	0	"Col_2"
"AB_001216_T.1"	-1.18804274792074	0	"Col_2"
"AB_045902_T.1"	-2.45145447923484	0	"Col_2"
"AB_030241_T.1"	-1.06398625728908	0	"Col_2"
"AB_027549_T.1"	-1.35336714865588	0	"Col_2"
"AB_040955_T.1"	-1.36436022452278	0	"Col_2"
"AB_031679_T.1"	-1.27509998366811	0	"Col_2"
"AB_034393_T.1"	-1.55813741728398	0	"Col_2"
"AB_000988_T.1"	-1.46315310626869	0	"Col_2"
"AB_011565_T.1"	-1.1954151006704	0	"Col_2"
"AB_030562_T.1"	-1.17441149478408	0	"Col_2"
"AB_025905_T.1"	-1.40296700506088	0	"Col_2"
"AB_045496_T.1"	-1.72383972300867	0	"Col_2"
"AB_006635_T.1"	-1.88993101576301	0	"Col_2"
"AB_005014_T.1"	-1.26283392743507	0	"Col_2"
"AB_014345_T.1"	-1.1014325125754	0	"Col_2"
"AB_019598_T.1"	-1.44533156569475	0	"Col_2"
"AB_025887_T.1"	-1.21717653112786	0	"Col_2"
"AB_032233_T.1"	-1.94543466321282	0	"Col_2"
"AB_025634_T.1"	-1.15870923423237	0	"Col_2"
"AB_035517_T.1"	-1.57810599710034	0	"Col_2"
"AB_012417_T.1"	-1.42568397225197	0	"Col_2"
"AB_045044_T.1"	-1.0619431670042	0	"Col_2"
"AB_031839_T.1"	-2.81375399957608	0	"Col_2"
"AB_039361_T.1"	-2.83714545166845	0	"Col_2"
"AB_003336_T.1"	-1.06128211920718	0	"Col_2"
"AB_022856_T.1"	-1.01631101723511	0	"Col_2"
"AB_027670_T.1"	-1.22499006254674	0	"Col_2"
"AB_034105_T.1"	-1.11748626477433	0	"Col_2"
"AB_002782_T.1"	-1.64745862487241	0	"Col_2"
"AB_033401_T.1"	-1.11889504953209	0	"Col_2"
"AB_023025_T.1"	-1.1916162431561	0	"Col_2"
"AB_001815_T.1"	-1.12728348205774	0	"Col_2"
"AB_027856_T.1"	-1.32496300135138	0	"Col_2"
"AB_031090_T.1"	-1.40447158321877	0	"Col_2"
"AB_038889_T.1"	-2.16935237209135	0	"Col_2"
"AB_043780_T.1"	-2.72683808690006	0	"Col_2"
"AB_032684_T.1"	-1.62427977422957	0	"Col_2"
"AB_042793_T.1"	-1.01681360298565	0	"Col_2"
"AB_026788_T.1"	-1.61496715729035	0	"Col_2"
"AB_013976_T.1"	-1.9220089552191	0	"Col_2"
"AB_035317_T.1"	-1.02046599612522	0	"Col_2"
"AB_028173_T.1"	-1.97111876793396	0	"Col_2"
"AB_031069_T.1"	-1.45995705017617	0	"Col_2"
"AB_044751_T.1"	-1.8021178388086	0	"Col_2"
"AB_036280_T.1"	-1.13337432250887	0	"Col_2"
"AB_032583_T.1"	-1.47299811797809	0	"Col_2"
"AB_010948_T.1"	-1.0740318373004	0	"Col_2"
"AB_039862_T.1"	-1.19150811566756	0	"Col_2"
"AB_004587_T.1"	-1.12853682110844	0	"Col_2"
"AB_038205_T.1"	-1.7004102516839	0	"Col_2"
"AB_021240_T.1"	-1.03291109207006	0	"Col_2"
"AB_022205_T.1"	-2.13395369900173	0	"Col_2"
"AB_039908_T.1"	-1.80687874082922	0	"Col_2"
"AB_000788_T.1"	-1.35766928655439	0	"Col_2"
"AB_028098_T.1"	-1.01697694754264	0	"Col_2"
"AB_021024_T.1"	-1.62406278549701	0	"Col_2"
"AB_030978_T.1"	-1.03177956683266	0	"Col_2"
"AB_031752_T.1"	-2.67750075030331	0	"Col_2"
"AB_032866_T.1"	-1.35090126689355	0	"Col_2"
"AB_015841_T.1"	-1.18089130103699	0	"Col_2"
"AB_039142_T.1"	-1.36113419048637	0	"Col_2"
"AB_012746_T.1"	-1.26278658768471	0	"Col_2"
"AB_039991_T.1"	-2.50300083295413	0	"Col_2"
"AB_026036_T.1"	-1.15011365793745	0	"Col_2"
"AB_030586_T.1"	-1.12131441443582	0	"Col_2"
"AB_035854_T.1"	-1.34695153945459	0	"Col_2"
"AB_021295_T.1"	-1.28164144255711	0	"Col_2"
"AB_040988_T.1"	-2.49525762642338	0	"Col_2"
"AB_035699_T.1"	-1.21239016394942	0	"Col_2"
"AB_034623_T.1"	-1.16803206286149	0	"Col_2"
"AB_024094_T.1"	-1.37989704670871	0	"Col_2"
"AB_045842_T.1"	-1.55585563338382	0	"Col_2"
"AB_024206_T.1"	-2.45105182587681	0	"Col_2"
"AB_039306_T.1"	-1.18633759154286	0	"Col_2"
"AB_031178_T.1"	-1.6267687642069	0	"Col_2"
"AB_020621_T.1"	-1.29040932845853	0	"Col_2"
"AB_030652_T.1"	-1.01757797973066	0	"Col_2"
"AB_036438_T.1"	-1.30186774853555	0	"Col_2"
"AB_044296_T.1"	-1.51558578375479	0	"Col_2"
"AB_025650_T.1"	-3.21440543142163	0	"Col_2"
"AB_044902_T.1"	-1.17072566171504	0	"Col_2"
"AB_040551_T.1"	-1.11815431739141	0	"Col_2"
"AB_045029_T.1"	-1.45974546625627	0	"Col_2"
"AB_027525_T.1"	-1.24191503472176	0	"Col_2"
"AB_028647_T.1"	-2.68484001184688	0	"Col_2"
"AB_020063_T.1"	-1.79973368932249	0	"Col_2"
"AB_017365_T.1"	-1.19233376983886	0	"Col_2"
"AB_023880_T.1"	-1.42770020477166	0	"Col_2"
"AB_001510_T.1"	-1.05597579669463	0	"Col_2"
"AB_031274_T.1"	-1.04603782762617	0	"Col_2"
"AB_002039_T.1"	-1.26179751030828	0	"Col_2"
"AB_045942_T.1"	-2.19677105681998	0	"Col_2"
"AB_010192_T.1"	-2.19676790837468	0	"Col_2"
"AB_024705_T.1"	-1.19674784996007	0	"Col_2"
"AB_041351_T.1"	-1.14482041686348	0	"Col_2"
"AB_021486_T.1"	-1.38409905290295	0	"Col_2"
"AB_015866_T.1"	-1.9544694344079	0	"Col_2"
"AB_026535_T.1"	-1.6449446357009	0	"Col_2"
